,Mfg_Year,KM,CC,Doors,Gears,Quarterly_Tax,Weight,Guarantee_Period,Airco,Automatic_airco,CD_Player,Central_Lock,Radio,Metallic_Rim,Radio_cassette,Diesel,Petrol,Black,Blue,Green,Grey,Red,Silver,Violet,White,Yellow,Mfg_Year_zscore,KM_zscore,CC_zscore,Doors_zscore,Gears_zscore,Quarterly_Tax_zscore,Weight_zscore,Guarantee_Period_zscore
0,2002,46986,2000,3,5,210,1165,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.5355962966696275,-0.558455344044928,0.8609332197041439,-1.094741748605225,-0.1711517726841592,3.148347648315719,1.8066442747106555,-0.27718713865588795
1,2002,72937,2000,3,5,210,1165,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.5355962966696275,0.12541235583851568,0.8609332197041439,-1.094741748605225,-0.1711517726841592,3.148347648315719,1.8066442747106555,-0.27718713865588795
2,2002,38500,2000,3,5,210,1170,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.5355962966696275,-0.782080688008972,0.8609332197041439,-1.094741748605225,-0.1711517726841592,3.148347648315719,1.9040501221143675,-0.27718713865588795
3,2002,31461,1800,3,6,100,1185,12,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.5355962966696275,-0.9675743005664673,0.45137172958216937,-1.094741748605225,5.842767412321285,0.3462999926325215,2.1962676643255037,2.800395486783759
4,2002,32189,1800,3,6,100,1185,3,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.5355962966696275,-0.9483898496584041,0.45137172958216937,-1.094741748605225,5.842767412321285,0.3462999926325215,2.1962676643255037,-0.27718713865588795
5,2002,23000,1800,3,6,100,1185,3,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1.5355962966696275,-1.1905408378372397,0.45137172958216937,-1.094741748605225,5.842767412321285,0.3462999926325215,2.1962676643255037,-0.27718713865588795
6,2002,18739,1800,3,6,100,1185,3,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1.5355962966696275,-1.3028278506384172,0.45137172958216937,-1.094741748605225,5.842767412321285,0.3462999926325215,2.1962676643255037,-0.27718713865588795
7,2002,34000,1800,3,5,100,1185,3,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1.5355962966696275,-0.9006658927978239,0.45137172958216937,-1.094741748605225,-0.1711517726841592,0.3462999926325215,2.1962676643255037,-0.27718713865588795
8,2002,21716,1600,3,5,85,1105,18,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1.5355962966696275,-1.2243771496036588,0.04181023946019485,-1.094741748605225,-0.1711517726841592,-0.0357974149606418,0.6377741058661109,4.8521172370768575
9,2002,64359,1600,3,5,85,1105,3,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5355962966696275,-0.10063739675676699,0.04181023946019485,-1.094741748605225,-0.1711517726841592,-0.0357974149606418,0.6377741058661109,-0.27718713865588795
